A.J. Gil
Abe Simpson
Abe Vigoda
Abraham Lincoln
Achilles
Adam Ant
Adam Sandler
Adolf Hitler
Aileen Stanley
Al Gore
Al Pacino
Alain Delon
Alan Ladd
Alana Davis
Albert Einstein
Albert Finney
Albetr Einstein
Albus Dumbledore
Alec Baldwin
ALEX THE LION
Alfred E. Neuman
Ali Babba
Alice Cooper
Alicia Keys
Amasa M. Lyman
Amy Adams
Amy Grant
Andre Agassi
Andrew Jackson
Andy Garcia
Andy Kaufman
Andy Kim
Andy Warhol
Angelica Huston
Angie Dickinson
Anita Lane
Ann Darrow
Ann-Margret
Anna Kournikova
Annette Funicello
Anthony Daniels
Anthony Fedorov
Anthony Kiedis
Anthony Lapaglia
Anthony Quinn
Antonio Banderas
Anwar Robinson
Apu Nahasapeemapetilon
Aragorn
Archie Andrews
Archie Bunker
Arlen Specter
Armand Assante
Arsenio Hall
Arthur Dent
Ashton Kutcher
Attila the Hun
Aunt Jemima
Avril Lavigne
Axl Rose
Babe Ruth
Barack Obama
Barbara Boxer
Barbara Mason
Barbara Mikulski
Barbara Ruskin
Barbra Streisand
Barney Gumble
Barry Donegan
Barry White
Bart Simpson
Bela Lugosi
Ben Affleck
Ben Dover
Ben Kingsley
Ben Nelson
Ben Stiller
Benjamin Franklin
Benjamin Harrison
Bernardo del Caprio
Beth Gibbons
Bette Midler
Betty Madigan
Big Bird
Bilbo Baggins
Bill Clinton
Bill Cosby
Bill Frist
Bill Gates
Bill Graham
Bill Murray
Bill Nelson
Billie Jean King
Billie Joe
Billie Piper
Billy Corgan
Billy Crystal
Billy The Kid
Björk
Black Hawk
Blanche Lincoln
Bo Bice
Bo Diddley
Bo Hess
Bob Burnquiest
Bob Dole
Bob Hoskins
Bob Marley
Bob Newhart
Bobbie Gentry
Bobby Brady
Bonnie Raitt
Bono
Boone Carlisle
Boris Becker
Boris Karloff
Boy George
Brenda Lee
Brian Dennehy
Brigham Young
Britney Spears
Bruce Dickinson
BRUCE NOLAN
Bruce Wayne
Bruce Willis
Bruno Kirby
Buffalo Bill
Bugs Bunny
Bullseye
Bumblebee Man
Burt Reynolds
Burt Young
Butch Cassidy
Byron Dorgan
C.S. Lewis
Calvin Coolidge
Camile Velasco
Cap'n Crunch
Captain Ahab
Captain America
Captain Marvel
Carl Carlason
Carl Denham
Carl Levin
Carl Lewis
Carmen Cortez
Carmen Rasmusen
Carol Connors
Carole King
Carrot Top
Cary Grant
Cary Underwood
Casey Donovan
Cathy Carr
Chandler Bing
Charles Bronson
Charles Darwin
Charles Grigsby
Charles Schumer
Charlie Brown
Charlie Pace
Chazz Palminteri
Cher
Chester Alan Arthur
Chester Bennington
Chevy Chase
Chewbacca
Chino Moreno
Cho Chang
Chow Yun-Fat
Chris Barnes
Chris Cornell
Chris Heimderdinger
Chris Penn
Chris Rock
Christian Slater
Christina Aguilera
Christina Christian
Christopher Columbus
Christopher Dodd
Christopher Lee
Christopher Robin
Christopher S. Bond
Christopher Walken
Chuck Berry
Chuck Grassley
Chuck Hagel
Chuck Norris
Claire Littleton
Clancy Wiggum
Clark Gable
Clark Kent
Claude Monet
Claudine Longet
Claudio Sanchez
Clay Aiken
Clint Eastwood
Colin Farrell
Colin Powell
Colonel Sanders
Comic Book Guy
Commander Cody
Connie Francis
Conrad Burns
Constantine Maroulis
Corey Clark
Cosima De Vito
Count Dooku
Count von Count
Craig Thomas
Crocodile Dundee
Céline Dion
Daffy Duck
Daisy Duck
Daisy Fuentes
Dalida
Dan Akroyd
Dan Hedaya
Dan Quayle
Daniel Akaka
Daniel Inouye
Danny Aiello
Daphne Blake
Darth Vader
Dave Grohl
Dave Mustaine
Davey Pattison
David Bowie
David Copperfield
David Coverdale
David Gahan
David Janssen
David Keith
David Lee Roth
David Schwimmer
David Vitter
David W. Patten
Dean Martin
Dean Stockwell
Debbie Harry
Debbie Stabenow
Debby Boone
Delroy Lindo
Delta Goodrem
Demi Moore
Denise Lor
Dennis Farina
Dennis Hopper
Diana DeGarmo
Diana Ross
Diane Sawyer
Dianne Feinstein
Dick Van Dyke
Dido
Dinah Shore
Dionne Warwick
Disco Stu
Don Johnson
Don Juan
Don Quixote
Donald Duck
Donald Sutherland
Donald Trump
Donna Loren
Donna Summer
Doogie Howser
Doris Day
Doris Fisher
Douglas Fairbanks Jr.
Dr. Frankenstein
Dr. Jeckyl
Dr. Malcolm Crowe
Dr. Who
Drake Bell
Drake Parker
Drew Barrymore
Dustin Hoffman
Dusty Springfield
Dwight David Eisenhower
Ebenezer Scrooge
Ed Asner
Ed Harris
Eddie Murphy
Eddie Vedder
Edward G. Robinson
Edward James Olmos
Edward Kennedy
EJay Day
Elektra Natchios
Elijah Wood
Elizabeth Dole
Elmo
Elroy Jetson
Elvis Presley
Eminem
Eric Adams
Eric Clapton
Eric Roberts
Ethan Hawke
EVAN BAXTER
Evan Bayh
Ewan McGregor
Fantasia Barrino
Fat Tony
Faye Dunaway
Fidel Castro
Fiona Apple
Ford Prefect
Forest Whitaker
Frank Black
Frank Lautenberg
Frank Oz
Frank Sinatra
Frank Zappa
Frankie Avalon
Franklin Delano Roosevelt
Franklin Pierce
Fred Astaire
Fred Flintstone
Freddie Mercury
Frodo Baggins
Gabriel Byrne
Gal Costa
Gale Storm
Gandalf the grey
Garth Brooks
Gary Busey
Gary Cooper
Gary Oldman
Gary Sinese
Gene Hackman
George Allen
George Bancroft
George Bush
George Clooney
George Harrison
George Herbert Walker Bush
George Huff
George Jefferson
George Michael
George Raft
George Segal
George Voinovich
George Walker Bush
George Washington
Gerald Rudolph Ford
Geraldo Rivera
Gloria The Hippo
Gogi Grant
Gomer Pyle
Gordon B. Hinckley
Gordon Freeman
Gordon Smith
Grace Kelly
Green Day
Gregorio Cortez
Grima Wormtongue
Groundskeeper Willie
Grover Cleveland
Halle Berry
Hannibal Lecter
Har Mar Superstar
Harriet Wheeler
Harrison Ford
Harry Potter
Harry Reid
Harry S. Truman
Harvey Keitel
Hayden Christensen
Heber C. Kimball
Heber J. Grant
Helen Kane
Henry Ford
Henry Winkler
Herbert Clark Hoover
Herbert Kohl
Hercules
Hermione Granger
Hermionie Granger
Hilary Duff
Hillary Clinton
Homer Simpson
Huckleberry Finn
Hugh Hefner
Hugo "Hurley" Reyes
Hulk Hogan
Humphrey Bogart
Hurley Reyes
Ian Curtis
Ian Gillan
Ian McDiarmid
Ian McKellen
Ice Cube
Indiana Jones
Ingrid Cortez
J.K Rowling
J.R.R. Tolkien
Jack Black
Jack Murdock
Jack Nicholson
Jack Nicklaus
Jack Palance
Jack Reed
Jack Shepard
Jack Tripper
Jackie DeShannon
Jackie Gleason
Jaime Presley
James "Sawyer" Ford
James Abram Garfield
James Bond
James Brown
James Buchanan
James Caan
James Cagney
James Dewar
James Earl Carter, Jr.
James Hetfield
James Iha
James Inhofe
James Jeffords
James Knox Polk
James L. Brooks
James LaBrie
James Madison
James Monroe
James Talent
James Woods
Jamie Lynn Spears
Janet Jackson
Janis Joplin
Jasmine Trias
Jason Priestley
Jason Robards
Jay Gatsby
Jay Rockefeller
Jean Reno
Jeff Bingaman
Jeff Goldblum
Jennifer Aniston
Jennifer Garner
Jennifer Hudson
Jennifer Warnes
Jerry Lewis
Jerry Orbach
Jerry Seinfeld
Jerry Springer
Jessica Sierra
Jessica Simpson
Jesus
Jewel
Jill Corey
Jim Bunning
Jim Carey
Jim Carrey
Jim DeMint
Jim Morrison
Jim Nabors
Jim Verraros
Jimi Hendrix
Jimmy Cliff
Jin Kwon
Jo Stafford
Joan of Arc
Joanie Sommers
Joe DiMaggio
Joe Mantegna
Joe Montana
Joe Pesci
Joe Piscapo
Joey Heatherton
Joey Ramone
John Adams
John Ashcroft
John Cleese
John Cornyn
John Cusack
John Denver
John E. Page 
John E. Sununu
John Ensign
John F. Boynton
John Fitzgerald Kennedy
John Galt
John Kerry
John Leguizamo
John Lennon
John Locke
John McCain
John McEnroe
John Quincy Adams
John Stevens
John Stewart
John Thune
John Travolta
John Turturro
John Tyler
John Warner
Johnny Appleseed
Johnny Cash
Johnny Isakson
Johnny Rzeznik
Jon Corzine
Jon Kyl
Jon Peter Lewis
Jon Polito
Joni James
Joni Mitchell
Joseph Biden
Joseph Lieberman
Joseph Smith
Josh Peck
Joshua Gracin
Judd Gregg
Jude Law
Julia Child
Julia DeMato
Julie London
Julius Hibbert
Juni Cortez
Justin Guarini
KATE BAKER
Kate Ryan
Kate Smith
Kathleen Turner
Kathy Bates
Katy Rose
Kay Bailey Hutchison
Kay Starr
Kelly Cavuoto
Kelly Clarkson
Ken Salazar
Kent Conrad
Kermit the Frog
Kevin Bacon
Kevin Costner
Kevin Spacey
Kim Basinger
Kim Wilde
Kimberley Locke
Kimberly Caldwell
Kimberly Locke
King Arthur
King Julien
King Kong
Kirk Douglas
Kirsten Dunst
Kosmo Kramer
Kristin Hersh
KRISTIN LAURA KREUK
Krusty The Klown
Kurt Cobain
Lamar Alexander
Lance Armstrong
Larry Craig
LaToya London
Laura Branigan
Lawrence Fishburne
Lawrence Tierney
Layne Staley
Leah LaBelle
Lee Marvin
Lee Strasberg
Legolas
Leif Erickson
Lena Horne
Lene Marlin
Lenny Lennard
Leonard McCoy
Leonard Nimoy
Leonardo da Vinci
Lesley Gore
Leslie Nielson 
Lex Luthor
Lincoln Chafee
Linda Ronstadt
Lindsey Cardinale
Lindsey Graham
Lino Ventura
Linus Torvalds
Lisa Loeb
Lisa Murkowski
Lisa Simpson
Little Eva
Little Peggy March
Little Red Riding Hood
Lizzie Borden
Lloyd Bridges
Lola Bunny
Lon Chaney
Loreena McKennitt
Lorraine Silver
Lou Diamond Phillips
Lou Reed
Louis Armstrong
Lovey Howell
Lucifer
Lucille Ball
Luke S. Johnson
Luke Skywalker
Lulu
Lyman E. Johnson
Lyman Wight
Lyndon Baines Johnson
M. Night Shyamalan
Madame Bovary
Madonna
Maggie Simpson
Magic Johnson
Marc Anthony
Marc Lawrence
Marcie Blane
Margaret Whiting
Margaret Young
Marge Simpson
Maria Cantwell
Mariah Carey
Marianne Faithfull
Marie Curie
Marilyn Manson
Marilyn Monroe
Mario Andretti
Marion Harris
Mark Dayton
Mark Pryor
Mark Spitz
Mark Steven Johnson
Mark Wahlberg
Marlon Brando
Martin Sheen
Martin Van Buren
Marvin Gaye
Mary Landrieu
Mary Prankster
Matt Groening
Matt Hoffman
Matt Murdock
Matthew Good
Matthew McConaughey
Matthew Rogers
Maude Flanders
Max Baucus
Maxine Brown
Maynard James Keenan
Mel Brooks
Mel Gibson
Mel Martinez
MELMAN THE GIRAFFE
Meriodoc Brandybuck
Merrill Hess
Michael Bolton
Michael Cain
Michael Dawson
Michael Enzi
Michael Hutchence
Michael Jackson
Michael Jordan
Michael Keaton
Michael Landon
Michael Lerner
Michael Madsen
Michelle Branch
Mick Jagger
Mickey Mantle
Mickey Mouse
Mickey Rooney
Mickey Rourke
Mikael Åkerfeldt
Mikalah Gordon
Mike Crapo
Milburn Drysdale
Milhouse Van Houten
Millard Fillmore
Milton Berle
Mireille Mathieu
Miss Kittin
Miss Piggy
Mitch McConnell
Moe Sizlak
Monica Lewinsky
Morgan Freeman
Morgan Hess
Morticia Addams
Moses
Mother Superior
Mr. Burns
Mr. Clean
Mr. Hyde
Mr. President
Mr. Spock
Mr. Toad
Mr. Whipple
Mrs. Peacock
Muhammad Ali
Murphy Brown
Murray Abraham
Nadia Turner
Nancy Sinatra
Natalie Imbruglia
Natalie Portman
Ned Flanders
Nelly Furtado
Nelson Muntz
Nicholas Cage
Nicholas Turturro
Nicki French
Nikki McKibbin
Nikko Smith
Nikolas Natchios
Norah Jones
Norm Coleman
O.J. SImpson
Obi-Wan Kenobi
Oliver Reed
Oliver Stone
Olivia Newton-John
Olympia Snowe
Oprah Winfrey
Orlando Bloom
Orrin Hatch
Orson Hyde
Orson Pratt
Oscar the Grouch
Ozzy Osbourne
